feature_1,feature_2,target
1.1659076485245332,-1.5349802039435392,2
-2.546389997091925,2.438622199004556,3
2.065508295574718,1.8163963554135807,4
-4.221937298861067,-4.206056785371931,1
-0.47328033628603183,-1.0983042072562117,2
0.9672365547703936,-1.8819367083506164,2
2.6902260906632307,2.2958038930713536,4
3.329735655605449,-2.297677299677585,2
-1.5591223988407863,1.6248797364777252,3
3.0840851935504796,-2.2841332852385774,2
1.71677416626615,1.8083101840679912,4
1.9097233858592602,1.8059022584387323,4
0.9128688408345056,-1.5152786407638033,2
4.104298155822509,2.972786133435898,4
0.18712515902499183,0.9561823341183646,4
2.680499966046516,2.290518822941238,4
-3.0278719972236994,-2.976958387481631,1
0.8559105900845443,1.038412222240243,4
2.3611858805409094,2.32725004978601,4
2.0864637536807824,2.1802594780193436,4
2.0610315141009883,-1.9979349549852303,2
-1.468944137897151,1.5668738665883097,3
4.014855554110684,-2.549086870442171,2
0.018015075133336778,-1.4137832381463968,2
1.1610879327484545,1.6794563070086452,4
1.3400091071147284,1.5881734248053678,4
3.061320813512591,-2.079572673519778,2
2.649929240177947,2.3979966937323365,4
0.8016063719348634,-1.421403099509897,2
2.116969039121541,2.129698922953205,4
-1.9639459950916143,1.8290854956566263,3
-1.3854385982190416,1.449514703909574,3
1.1409267664035543,1.2841830450108533,4
-2.335581972436694,-2.2708856886938005,1
-1.2191187765490619,1.3662120224798198,3
3.2338752137963227,-2.282217937392441,2
-2.9076119009061543,2.660226473455903,3
2.938471327400533,-2.897355708349952,2
1.5637953601290648,-1.8057806441839666,2
0.4581118539182081,-1.990395141277209,2
-2.434904904862683,2.4119745170922213,3
-2.420193202678347,2.280718439305004,3
-1.651525752230886,1.6575182928073169,3
-1.6471189983245709,-1.2367303621321961,1
-0.892568663912759,0.9522824619375001,3
-1.537627082793283,1.4985818934901776,3
1.8757961432107977,-2.0265141119611645,2
-0.45069249133350353,0.7091351940108126,3
2.4227677228476368,-1.9297136273637365,2
-1.8317909372183265,1.7986520812586158,3
-1.5757767597932264,1.6286898705099098,3
1.9453680135602287,1.8781805323701415,4
1.9541406364461655,-1.822212833183121,2
1.0591338153875545,1.763348101331252,4
0.7806292775289059,-1.4147975726460427,2
1.9344782409543146,-1.7189704837810553,2
-1.9509444644149232,1.9323264716340267,3
-2.210045869995202,-1.808271649685172,1
-0.21600984383511168,-0.6005463903990123,1
-2.031940605159093,-1.9836470063648295,1
2.859778237488233,3.072476474153029,4
-2.6757771748819343,-2.6606430914240162,1
-1.8134537247596205,1.6854488477723593,3
2.1872803266438874,-2.1376342261250376,2
3.497939735965647,-2.6620173909437796,2
2.5160179075211317,2.21489039437695,4
2.2049988172589305,2.1343075745681874,4
-1.7713857486756575,-1.7679788746516587,1
-1.8829286425450198,-2.075090780924108,1
2.8322108571114195,-2.3662469718572536,2
3.329135831020923,-2.390481671673171,2
0.9397679780123365,1.4394264272526018,4
-0.46452658912603173,-0.8846167684836623,2
-1.5593282227724963,1.6626060564818386,3
-1.2157510556369506,-1.6176553305601613,1
-1.5335491554347043,-1.749946140082181,1
-1.8790217815462567,1.9013549596651784,3
0.4979436767960146,-0.16219414987238334,3
1.0740628266903256,1.2642409967215829,4
2.2852804796163917,-2.357408887061758,2
2.1260819365476324,-2.151960378113049,2
2.4200089448903226,-1.9647777097479877,2
-3.625627585590925,-2.981314525635257,1
-3.063057874891637,-2.727735715413406,1
1.4138076510437587,-2.0141775004480817,2
1.385986055452685,1.5215891127402295,4
-1.991735428064917,1.9780440167280724,3
1.2593174218437544,-1.6092426079967028,2
2.1888226158279784,-1.9856792901864189,2
-0.8769094213683302,0.9639266428781799,3
2.4745721549411233,-2.095727516808856,2
-1.7981440344677782,-2.360436946426058,1
0.3605723744280984,-1.4465970118451947,2
-0.8386264488810036,-1.0846585156672552,1
1.6599457829341215,1.5742790270028442,4
-4.5590075827962755,-4.237635350964214,1
1.8227780429784515,-1.8966504914137488,2
2.1051598534576628,-1.6400924359609608,2
3.1459186478408663,-2.403257620596106,2
2.060021135527842,2.181702765181606,4
-2.1974241458426604,2.2856064494973514,3
1.5620043515915931,1.641299696936388,4
-2.872773892121692,2.8193948164613714,3
-2.5372431547664807,2.417137793092369,3
